"Category","Snippet","Tool","Coverage","Status","Size","Run","Duration"
"L1","L1_minMax","CATG","66.67","NC","1","run-03-15sec","518"
"L1","L1_minMaxImpossible","CATG","66.67","C","1","run-03-15sec","515"
"L1","L1_minMaxWithOrder","CATG","66.67","NC","1","run-03-15sec","505"
"L1","L1_powGuessBase","CATG","","N/A","","run-03-15sec",""
"L1","L1_powGuessBaseAndExponent","CATG","","N/A","","run-03-15sec",""
"L1","L1_powGuessExponent","CATG","","N/A","","run-03-15sec",""
"L1","L1_sin","CATG","","N/A","","run-03-15sec",""
"L1","L1_sinImpossible","CATG","","N/A","","run-03-15sec",""
"L1","L1_sqrt","CATG","","N/A","","run-03-15sec",""
"L1","L1_sqrtImpossible","CATG","","N/A","","run-03-15sec",""
"L1","L1_tan","CATG","","N/A","","run-03-15sec",""
"L2","L2_add","CATG","57.14","NC","1","run-03-15sec","495"
"L2","L2_addWithCondition","CATG","53.85","NC","1","run-03-15sec","503"
"L2","L2_charAt","CATG","","EX","","run-03-15sec","486"
"L2","L2_compareTo","CATG","55.56","NC","1","run-03-15sec","499"
"L2","L2_compareToIgnoreCase","CATG","55.56","NC","1","run-03-15sec","493"
"L2","L2_equality","CATG","77.78","NC","3","run-03-15sec","1636"
"L2","L2_equalityIgnoreCase","CATG","55.56","NC","1","run-03-15sec","497"
"L2","L2_indexOf","CATG","50.00","NC","1","run-03-15sec","490"
"L2","L2_length","CATG","57.14","NC","1","run-03-15sec","497"
"L2","L2_regionEquality","CATG","50.00","NC","1","run-03-15sec","503"
"L2","L2_startsEnds","CATG","42.86","NC","1","run-03-15sec","508"
"L2","L2_substring","CATG","","EX","","run-03-15sec","487"
"L2","L2_switchString","CATG","","N/A","","run-03-15sec",""
"L3","L3_guessDouble","CATG","","N/A","","run-03-15sec",""
"L3","L3_guessInteger","CATG","100.00","C","3","run-03-15sec","1644"
"L3","L3_integerOverflow","CATG","100.00","C","3","run-03-15sec","1640"
"L4","L4_guessElementAndIndex","CATG","","EX","","run-03-15sec","1079"
"L4","L4_guessElements","CATG","100.00","C","3","run-03-15sec","1667"
